Day,MSE Conv,MSE PCA
2022-07-28,0.9491407382301986,2.2861149691358027
2022-07-29,1.0993902571499348,2.7801208847736625
2022-07-30,1.3969577522948384,3.618154449588477
2022-07-31,1.3330183457583191,3.312042695473252
2022-08-01,1.4493733271956444,3.4584778806584358
2022-08-02,1.2700858851894736,3.3832411265432096
2022-08-03,1.468952132854611,3.76069212962963
2022-08-04,1.2099334504455328,3.3280868055555555
2022-08-05,1.1444216407835484,3.084351851851852
2022-08-06,1.194536320399493,3.4356880144032926
2022-08-07,1.153009773697704,3.3900406378600825
2022-08-08,1.2195974006317556,3.6579969135802473
2022-08-09,1.3720669504255056,3.777905735596708
2022-08-10,1.2170552182942629,3.5279974279835384
2022-08-11,1.3458357704803348,3.725827803497942
2022-08-12,1.2683244422078133,3.8837148919753086
2022-08-13,1.3272457430139184,4.137634645061729
2022-08-14,1.3403508835472169,4.055192901234569
2022-08-15,1.2968848971650004,3.96650462962963
2022-08-16,1.5970051428303125,4.402068287037039
2022-08-17,1.6875616461038592,4.22520228909465
2022-08-18,1.5632044128142295,4.135210262345679
2022-08-19,1.5033373190090058,4.105329732510288
2022-08-20,1.1995541886426508,3.6303045267489713
2022-08-21,1.2535051186569035,3.895271604938272
2022-08-22,1.2403366877697408,3.689073816872429
2022-08-23,1.300292720552534,3.7772708333333336
2022-08-24,1.5266609424725175,4.118654320987655
2022-08-25,1.5153833851218224,4.444884773662552
2022-08-26,1.229428898077458,3.7825453960905353
2022-08-27,1.2545659742318094,3.9679054783950622
2022-08-28,1.1560782277956605,3.601980838477366
2022-08-29,1.2234222516417503,3.694472222222224
2022-08-30,1.559775690548122,4.170207047325103
2022-08-31,1.5632741153240204,4.297690586419753
2022-09-01,1.6443114168941977,4.906728266460906
2022-09-02,1.8129055202007287,5.129587705761317
2022-09-03,1.981990272179246,4.307816615226336
2022-09-04,1.9347801804542544,4.307114840534979
2022-09-05,1.4533301023766398,4.154966820987655
2022-09-06,1.5776898292824626,4.674511316872428
2022-09-07,1.3653831090778112,4.091090534979424
2022-09-08,2.0547088701277967,4.296312757201648
2022-09-09,2.0755222532898188,4.906460776748972
2022-09-10,2.040666723623872,4.428218878600823
2022-09-11,1.9166153739206493,4.252733281893004
2022-09-12,2.2712602000683546,4.79398392489712
2022-09-13,2.1405994612723602,4.729449588477366
2022-09-14,2.0850017946213484,4.433793467078188
2022-09-15,1.606956215109676,4.172821116255143
2022-09-16,1.3928249990567565,4.01316383744856
2022-09-17,1.6387487528845668,4.198016718106996
2022-09-18,1.6104191355407238,4.243239969135802
2022-09-19,1.4683914254419506,4.011275720164609
2022-09-20,1.4447629870846868,4.503941872427983
2022-09-21,1.4500658400356767,4.468392489711935
2022-09-22,1.3641406944952903,4.407251286008232
2022-09-23,1.4139092364348471,4.336045524691357
2022-09-24,1.3164741522632541,4.170509002057614
2022-09-25,1.3401436759158971,4.070130272633745
2022-09-26,1.4211803837679329,4.425092849794238
2022-09-27,1.3810254447162151,4.202511574074073
2022-09-28,1.5756586007773876,4.434700360082305
2022-09-29,1.6677865572273731,4.505433770576132
2022-09-30,1.6303208051249385,4.554431712962963
2022-10-01,1.645803430583328,4.5511625514403296
2022-10-02,1.6785732284188268,4.4040664866255135
2022-10-03,1.6742882458493114,4.165489197530864
2022-10-04,1.5942255919799209,4.468857767489712
2022-10-05,1.695744744502008,4.314493698559672
2022-10-06,1.7942180042155087,4.929489711934156
2022-10-07,1.3699106848798692,4.419827674897119
2022-10-08,1.5827449830248952,4.5219882973251035
2022-10-09,1.4207117026671767,4.36860223765432
2022-10-10,1.4055365044623611,4.452248070987653
2022-10-11,1.4130084472708404,4.5524621913580265
2022-10-12,1.4198398869484663,3.9143999485596703
2022-10-13,1.5003765653818846,3.3836604938271604
2022-10-14,1.3012952730059624,3.5753721707818933
2022-10-15,1.4217309979721904,4.044832947530864
2022-10-16,1.433588380459696,4.286626414609054
2022-10-17,1.5191786689683795,4.18396579218107
2022-10-18,1.1430037231184542,3.1951628086419754
2022-10-19,1.3093935884535313,3.706310956790124
2022-10-20,1.5561475977301598,4.245414094650206
2022-10-21,0.9804933308623732,3.0099475308641974
2022-10-22,1.2603789498098197,3.6194182098765433
2022-10-23,0.9806649154052138,2.9831273148148147
2022-10-24,1.0055230627767742,2.9759696502057613
2022-10-25,1.0993307665921748,3.1172204218107
2022-10-26,1.0276151960715652,2.9439128086419752
2022-10-27,1.2484963936731222,3.800054269547325
2022-10-28,0.9739249083213508,3.1856971450617286
2022-10-29,1.088167796842754,2.8647328960905347
2022-10-30,1.2360119260847569,3.60883912037037
2022-10-31,0.8363851136527956,2.7559187242798355
2022-11-01,1.0145866451784968,2.926673096707819
2022-11-02,0.8218311821110547,2.626214763374485
2022-11-03,0.9930426918435842,2.9506288580246918
2022-11-04,1.0099428193643691,3.3435897633744864
2022-11-05,1.1757187801413238,3.4875509259259267
2022-11-06,0.8755743701476604,3.0278369341563787
2022-11-07,0.9016241692006588,3.0264873971193422
2022-11-08,0.8765428431797773,3.0347484567901235
2022-11-09,0.914509812137112,2.958212191358025
2022-11-10,0.8223128062672913,2.8784778806584357
2022-11-11,1.20405160356313,3.376510673868313
2022-11-12,1.4260504161939025,3.8896072530864196
2022-11-13,2.5318696908652782,5.292912037037037
2022-11-14,2.46079545468092,5.1305838477366255
2022-11-15,1.0443506855517626,3.4627671039094654
2022-11-16,1.2437373865395784,3.3477905092592595
2022-11-17,0.9260110231116414,2.984825231481482
2022-11-18,0.7835990586318076,2.9212777777777785
2022-11-19,0.9757724998053164,3.0490810185185184
2022-11-20,0.7822407502681017,2.885465020576132
2022-11-21,0.7803590793628246,2.8796802983539096
2022-11-22,0.838188057532534,2.847557484567901
2022-11-23,0.7483732863329351,2.7871661522633744
2022-11-24,1.1706664762459695,3.604037808641975
2022-11-25,0.8790638891514391,2.9313220164609053
2022-11-26,0.8148329670075327,2.8743595679012346
2022-11-27,1.1570994229987264,3.3667321244855968
2022-11-28,1.2277231458574531,3.4510293209876544
2022-11-29,0.7479228323791176,2.762252314814815
2022-11-30,0.8267298911232501,2.874443158436214
2022-12-01,0.8851809077896178,3.1138023405349795
2022-12-02,0.7873569382354617,2.829797453703704
2022-12-03,0.92031643493101,2.887455504115226
2022-12-04,0.9544500627089292,3.002059284979424
2022-12-05,0.8067220647353679,2.9023225308641982
2022-12-06,0.97059213090688,3.1593788580246915
2022-12-07,1.2632360402494671,3.6330803755144037
2022-12-08,1.1764172301627696,3.41248816872428
2022-12-09,2.4730265233665705,5.0277314814814815
2022-12-10,2.4931112956255674,5.13194637345679
2022-12-11,2.580855237320065,5.197056327160494
2022-12-12,4.0503988321870565,6.352648405349795
2022-12-13,2.6472410000860687,5.510290895061729
2022-12-14,1.108892122283578,3.683491640946502
2022-12-15,1.0778627498075366,3.570977237654321
2022-12-16,1.326934159733355,3.926241512345679
2022-12-17,1.2115282961167395,3.5896123971193417
2022-12-18,1.044745270628482,3.3120150462962963
2022-12-19,1.0122807626612484,3.2701118827160496
2022-12-20,0.9287167154252528,3.1379821244855965
2022-12-21,0.9189945808611808,3.185489068930041
2022-12-22,1.218361754436046,3.611179783950617
2022-12-23,2.835867628455162,5.5774261831275735
2022-12-24,2.5660992041230197,5.1927425411522625
2022-12-25,1.1141097173094752,3.602817772633745
2022-12-26,1.083670975640416,3.5151841563786004
2022-12-27,1.1170986131764948,3.566460390946502
2022-12-28,1.1259629437699914,3.649889660493828
2022-12-29,1.226707294117659,3.5536820987654325
2022-12-30,1.3336830725893378,3.5838922325102884
2022-12-31,1.5144179994240403,3.7959544753086414
2023-01-01,1.702635674737394,4.0692786779835375
2023-01-02,1.1011824547313154,3.4762654320987654
2023-01-03,1.3498560735024512,3.755319444444445
2023-01-04,1.4472066122107208,3.9124922839506167
2023-01-05,1.6158945229835808,4.081651234567902
2023-01-06,1.5256366599351168,4.131465663580247
2023-01-07,1.1453397665172815,3.5548083847736622
2023-01-08,1.0901289666071534,3.4823675411522634
2023-01-09,1.2378254975192249,3.6274196244855963
2023-01-10,1.0690213367342951,3.432105066872428
2023-01-11,1.2354165455326438,3.837248585390946
2023-01-12,1.3756157224997878,4.01926607510288
2023-01-13,1.6873127594590187,4.341587962962963
2023-01-14,1.1454092315398157,3.6948786008230448
2023-01-15,0.996237904764712,3.3430730452674893
2023-01-16,0.9456041967496276,3.220719650205761
2023-01-17,0.962909774389118,3.285101594650206
2023-01-18,1.0579043207690122,3.5576900720164617
2023-01-19,1.0355529701337218,3.512724022633745
2023-01-20,1.5967984101735055,4.321912551440328
2023-01-21,1.1565800383687022,3.670148791152264
2023-01-22,1.1756230727769434,3.5154382716049377
2023-01-23,1.3987482874654231,3.787342335390947
2023-01-24,1.0846310178749263,3.5346283436213994
2023-01-25,1.0489396518096328,3.4614930555555565
2023-01-26,1.50575838284567,4.0297330246913585
2023-01-27,1.1765302740968764,3.715950874485596
2023-01-28,1.140557248145342,3.631381430041152
2023-01-29,2.1704326104372744,4.97514737654321
2023-01-30,2.405983633361757,5.302432998971193
2023-01-31,1.2865526578389108,3.988528420781893
2023-02-01,1.025586579926312,3.3839189814814814
2023-02-02,0.9724032087251544,3.3055446244855964
2023-02-03,1.026248219422996,3.4718895318930043
2023-02-04,1.5703246369957924,4.359855452674897
2023-02-05,1.0431330883875491,3.4452119341563785
2023-02-06,1.1158900405280292,3.8467983539094655
2023-02-07,1.1232926370576024,3.6323958333333333
2023-02-08,1.791829951107502,4.7794998713991745
2023-02-09,1.1460008122958243,3.7922820216049375
2023-02-10,1.4725973247550428,4.247509773662552
2023-02-11,1.1635870998725295,3.818573302469136
2023-02-12,1.345524899661541,4.1503996913580234
2023-02-13,2.141281287185848,4.820683384773663
2023-02-14,1.1839720560237763,3.8617191358024687
2023-02-15,1.2323161493986845,3.9990771604938273
2023-02-16,1.1141294287517671,3.75466049382716
2023-02-17,1.3899806141853333,4.170348765432099
2023-02-18,1.6257089213468134,4.704366255144032
2023-02-19,1.2110268417745829,3.8817163065843614
2023-02-20,1.5195875032804906,4.409031635802469
2023-02-21,1.7002965440042317,4.655022890946502
